car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase_boxcox,carlength,sqrt_carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize_boxcox,fuelsystem,boreratio,logmax_stroke,compressionratio_boxcox,log_horsepower,peakrpm,citympg,highwaympg,price_boxcox,price
1,3,alfa-romero giulia,gas,std,two,convertible,rwd,front,0.19724742250494176,168.8,8.006247560499238,48.8,2548,dohc,four,1.0301525981765405,mpfi,3.47,0.9122827104766161,0.3253388843073544,4.709530201312334,5000,21,27,1.5880973119101935,13495.0
2,3,alfa-romero stelvio,gas,std,two,convertible,rwd,front,0.19724742250494176,168.8,8.006247560499238,48.8,2548,dohc,four,1.0301525981765405,mpfi,3.47,0.9122827104766161,0.3253388843073544,4.709530201312334,5000,21,27,1.5885782302319749,16500.0
3,1,alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,0.19724742251230815,171.2,8.093207028119323,52.4,2823,ohcv,six,1.0314978196980282,mpfi,2.68,0.5306282510621703,0.3253388843073544,5.0369526024136295,5000,19,26,1.5885782302319749,16500.0
4,2,audi 100 ls,gas,std,four,sedan,fwd,front,0.1972474225169134,176.6,8.136338242723197,54.3,2337,ohc,four,1.0283733545229374,mpfi,3.19,0.5709795465857378,0.3254447380250489,4.624972813284271,5500,24,30,1.588180876122592,13950.0
5,2,audi 100ls,gas,std,four,sedan,4wd,front,0.1972474225166162,176.6,8.148619514985345,54.3,2824,ohc,five,1.0305617959567805,mpfi,3.19,0.5709795465857378,0.325172027191599,4.74493212836325,5500,18,22,1.58870168091667,17450.0
6,2,audi fox,gas,std,two,sedan,fwd,front,0.1972474225169134,177.3,8.142481194328912,53.1,2507,ohc,five,1.0305617959567805,mpfi,3.19,0.5709795465857378,0.32526541272790754,4.700480365792417,5500,19,25,1.5883969758800789,15250.0
7,1,audi 100ls,gas,std,four,sedan,fwd,front,0.19724742252061556,192.7,8.449852069711044,55.7,2844,ohc,five,1.0305617959567805,mpfi,3.19,0.5709795465857378,0.32526541272790754,4.700480365792417,5500,19,25,1.5887335783664094,17710.0
8,1,audi 5000,gas,std,four,wagon,fwd,front,0.19724742252061556,192.7,8.449852069711044,55.7,2954,ohc,five,1.0305617959567805,mpfi,3.19,0.5709795465857378,0.32526541272790754,4.700480365792417,5500,19,25,1.5888725508380475,18920.0
9,1,audi 4000,gas,turbo,four,sedan,fwd,front,0.19724742252061556,192.7,8.449852069711044,55.9,3086,ohc,five,1.030223350559078,mpfi,3.13,0.5709795465857378,0.325230792554563,4.941642422609304,5500,17,20,1.5893182493378533,23875.0
10,0,audi 5000s (diesel),gas,turbo,two,hatchback,4wd,front,0.1972474225166912,178.2,8.240145629781066,52.0,3053,ohc,five,1.030223350559078,mpfi,3.13,0.5709795465857378,0.324893375842129,5.075173815233827,5500,16,22,1.5887515365767226,17859.167
